Name,Description,Type
how_long_covid_effect_livelihood,How much longer will COVID-19 affect your livelihood? Provide your best estimate.,Categorical
how_long_employment_return_normal,How long will it take for your employment to return to normal after the tourism sector is up and running again? Provide your best estimate.,Categorical
major_trsm_challenge_winning_tourist_confidence,"Flag variable that indicates whether respondent thinks ""Winning tourists' confidence"" can be one of the major challenges for the revival of tourism sector they are working in.",Boolean
major_trsm_challenge_ensuring_hhs_compliance,"Flag variable that indicates whether respondent thinks ""Ensuring HHS Compliance"" can be one of the major challenges for the revival of tourism sector they are working in.",Boolean
major_trsm_challenge_overcoming_financial_challenge,"Flag variable that indicates whether respondent thinks ""Overcoming financial challenges"" can be one of the major challenges for the revival of tourism sector they are working in.",Boolean
major_trsm_challenge_decreased_tourist_numbers,"Flag variable that indicates whether respondent thinks ""Decreased number of tourists"" can be one of the major challenges for the revival of tourism sector they are working in.",Boolean
major_trsm_challenge_understanding_market_demands,"Flag variable that indicates whether respondent thinks ""Understanding the demands and needs of the source market correctly"" can be one of the major challenges for the revival of tourism sector they are working in.",Boolean
other_major_trsm_challenge,"Flag variable that indicates whether respondent thinks of ""any other factors"" that can be one of the major challenges for the revival of tourism sector.",Boolean
no_any_major_trsm_challenge,"Flag variable that indicates whether respondent thinks ""there are no any challenges in the tourism sector that they are involved in"" .",Boolean
most_significant_trsm_recovery_challenge,We also asked respondents to rank order their choices for the above multi-select question. This column captures what each respondent chose as their first option.,Categorical
can_not_pay_rent_partially_if_same_situation_nxt_6_mnths,"Flag variable that indicates whether respondent ""Won't be able to pay house / room rent (partially) "" if the current situation continues for the next 6 months.",Boolean
can_not_pay_rent_fully_if_same_situation_nxt_6_mnths,"Flag variable that indicates whether respondent ""Won't be able to pay house / room rent (full)"" if the current situation continues for the next 6 months.",Boolean
can_not_afford_health_expenses_if_same_situation_nxt_6_mnths,"Flag variable that indicates whether respondent ""Won't be able to meet necessary health care expenses"" if the current situation continues for the next 6 months.",Boolean
can_not_afford_education_expenses_if_same_situation_nxt_6_mnths,"Flag variable that indicates whether respondent ""Won't be able to afford necessary educational services"" if the current situation continues for the next 6 months.",Boolean
can_not_afford_food_expenses_if_same_situation_nxt_6_mnths,"Flag variable that indicates whether respondent ""Won't be able to meet fooding expenses"" if the current situation continues for the next 6 months.",Boolean
can_not_acquire_loans_if_same_situation_nxt_6_mnths,"Flag variable that indicates whether respondent ""Won't be able to acquire additional loans and borrowings "" if the current situation continues for the next 6 months.",Boolean
can_not_pay_existing_loans_if_same_situation_nxt_6_mnths,"Flag variable that indicates whether respondent ""Won't be able to pay off existing loans"" if the current situation continues for the next 6 months.",Boolean
will_suffer_other_problems_if_same_situation_nxt_6_mnths,"Flag variable that indicates whether respondent ""will suffer any other problems"" if the current situation continues for the next 6 months.",Boolean
will_not_suffer_any_problem_if_same_situation_nxt_6_mnths,"Flag variable that indicates whether respondent ""won't have to suffer from COVID-19 in any way"" if the current situation continues for the next 6 months.",Boolean
most_significant_problem_if_same_situation_nxt_6_months,We also asked respondents to rank order their choices for the above multi-select question. This column captures what each respondent chose as their first option.,Categorical
has_assets_for_addtnl_loan,Do you have the necessary collateral/securities to secure additional loans?,Boolean
