Name,Description,Type
gymnasium_service_offered_pre_covid,"Flag variable that indicates whether the respondent used to provide ""Gymnasium services"" before the pandemic.",Boolean
hotel_booking_service_offered_pre_covid,"Flag variable that indicates whether the respondent used to provide ""Hotel booking services"" before the pandemic.",Boolean
online_service_offered_pre_covid,"Flag variable that indicates whether the respondent used to provide ""Online services (booking, order management, delivery)"" before the pandemic.",Boolean
restaurant_service_offered_pre_covid,"Flag variable that indicates whether the respondent used to provide ""Restaurant services"" before the pandemic.",Boolean
souvenir_shop_service_offered_pre_covid,"Flag variable that indicates whether the respondent used to provide ""Souvenirs and/or shops services"" before the pandemic.",Boolean
spa_services_offered_pre_covid,"Flag variable that indicates whether the respondent used to provide ""Spa services"" before the pandemic.",Boolean
swimming_pool_service_offered_pre_covid,"Flag variable that indicates whether the respondent used to provide ""Swimming pool services"" before the pandemic.",Boolean
tour_package_service_offered_pre_covid,"Flag variable that indicates whether the respondent used to provide ""Tour packages services"" before the pandemic.",Boolean
travel_guide_porter_service_offered_pre_covid,"Flag variable that indicates whether the respondent used to provide ""Travel guides and/or porters services"" before the pandemic.",Boolean
vehicle_booking_service_offered_pre_covid,"Flag variable that indicates whether the respondent used to provide ""Vehicle booking services"" before the pandemic.",Boolean
other_service_offered_pre_covid,"Flag variable that indicates whether the respondent used to provide ""any other services"" before the pandemic.",Boolean
accomondation_service_offered_post_covid,"Flag variable that indicates whether the respondent provides ""Accommodation services (overnight stay)"" after the pandemic.",Boolean
restaurant_service_offered_post_covid,"Flag variable that indicates whether the respondent provides ""Restaurant services"" after the pandemic.",Boolean
bar_service_offered_post_covid,"Flag variable that indicates whether the respondent provides ""Bar services"" after the pandemic.",Boolean
gymnasium_service_offered_post_covid,"Flag variable that indicates whether the respondent provides ""Gymnasium services"" after the pandemic.",Boolean
spa_service_offered_post_covid,"Flag variable that indicates whether the respondent provides ""Spa services"" after the pandemic.",Boolean
swimming_pool_service_offered_post_covid,"Flag variable that indicates whether the respondent provides ""Swimming pool services"" after the pandemic.",Boolean
flight_booking_service_offered_post_covid,"Flag variable that indicates whether the respondent provides ""Flight booking services"" after the pandemic.",Boolean
travel_guide_porter_service_offered_post_covid,"Flag variable that indicates whether the respondent provides ""Travel guides and/or porters services"" after the pandemic.",Boolean
adventure_sport_service_offered_post_covid,"Flag variable that indicates whether the respondent provides ""Adventure sports services (rafting, bungee, etc.)"" after the pandemic.",Boolean
adventure_equipment_service_offered_post_covid,"Flag variable that indicates whether the respondent provides ""Adventure equipment renting services"" after the pandemic.",Boolean
tour_package_service_offered_post_covid,"Flag variable that indicates whether the respondent provides ""Tour packages services"" after the pandemic.",Boolean
vehicle_booking_service_offered_post_covid,"Flag variable that indicates whether the respondent provides ""Vehicle booking services"" after the pandemic.",Boolean
hotel_booking_service_offered_post_covid,"Flag variable that indicates whether the respondent provides ""Hotel booking services"" after the pandemic.",Boolean
souvenir_shop_service_offered_post_covid,"Flag variable that indicates whether the respondent provides ""Souvenirs and/or shops services"" after the pandemic.",Boolean
food_delivery_service_offered_post_covid,"Flag variable that indicates whether the respondent provides ""Food delivery services"" after the pandemic.",Boolean
online_service_offered_post_covid,"Flag variable that indicates whether the respondent provides ""Online services (booking, order management, delivery)"" after the pandemic.",Boolean
isolation_service_offered_post_covid,"Flag variable that indicates whether the respondent provides ""Isolation services"" after the pandemic.",Boolean
quarantine_service_offered_post_covid,"Flag variable that indicates whether the respondent provides ""Quarantine services"" after the pandemic.",Boolean
other_service_offered_post_covid,"Flag variable that indicates whether the respondent provide ""any other services"" after the pandemic.",Boolean
